major	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Health Services (General)	"1,166,876"	"1,281,159"	"1,345,411"	"1,395,005"	"1,440,120"	"1,474,572"	"1,509,550"	"1,546,446"	"1,568,424"	"1,606,280"	"1,637,218"	"1,663,441"	"1,680,888"	"1,702,356"	"1,726,444"	"1,745,503"	"1,758,981"	"1,778,635"	"1,794,577"	"1,806,050"	"1,827,535"	"1,840,512"	"1,858,137"	"1,874,680"	"1,887,874"	"1,905,574"	"1,918,164"	"1,934,981"	"1,949,554"	"1,964,498"	"1,980,554"	"1,998,249"	"2,011,713"	"2,028,599"	"2,045,225"	"2,061,850"	"2,081,006"	"2,096,240"	"2,116,290"	"2,136,972"	"2,153,576"	"2,169,023"	"2,184,724"	"2,199,209"	"2,210,451"	"2,229,957"	"2,249,096"	"2,272,267"	"2,287,057"	"2,302,527"	"2,317,362"	"2,338,541"	"2,355,995"	"2,373,740"	"2,389,296"	"2,404,258"	"2,418,394"	"2,432,081"	"2,448,935"	"2,464,671"	"2,481,026"	"2,500,915"	"2,521,833"	"2,545,297"	"2,563,858"	"2,583,612"	"2,610,278"	"2,629,044"	"2,657,110"	"2,675,506"	"2,699,008"	"2,716,768"	"2,738,514"	"2,763,945"	"2,789,148"	"2,811,835"	"2,841,603"	"2,866,788"	"2,901,432"	"2,933,048"	"2,966,068"	"3,000,975"	"3,034,662"	"3,064,366"	"3,097,181"	"3,136,997"	"3,173,788"	"3,223,957"	"3,277,230"	"3,327,501"	"3,399,551"	"3,462,664"	"3,530,196"	"3,628,978"	"3,732,872"	"3,887,162"	"4,044,750"	"4,236,094"	"4,663,582"
High School	"692,175"	"747,162"	"783,407"	"811,445"	"834,591"	"856,427"	"876,072"	"892,946"	"908,874"	"923,927"	"938,147"	"951,211"	"962,683"	"974,110"	"985,558"	"996,624"	"1,007,755"	"1,018,348"	"1,028,000"	"1,038,032"	"1,048,488"	"1,058,137"	"1,067,370"	"1,075,513"	"1,084,370"	"1,094,117"	"1,103,447"	"1,113,041"	"1,122,535"	"1,132,138"	"1,141,457"	"1,151,244"	"1,159,418"	"1,168,459"	"1,177,455"	"1,186,581"	"1,195,110"	"1,203,501"	"1,211,962"	"1,221,047"	"1,230,077"	"1,238,762"	"1,247,167"	"1,255,259"	"1,264,543"	"1,273,099"	"1,282,082"	"1,291,441"	"1,301,261"	"1,310,580"	"1,320,141"	"1,329,893"	"1,340,412"	"1,349,899"	"1,359,465"	"1,369,137"	"1,378,762"	"1,389,580"	"1,400,102"	"1,409,411"	"1,420,673"	"1,432,945"	"1,442,929"	"1,453,423"	"1,465,242"	"1,477,904"	"1,489,893"	"1,502,630"	"1,514,405"	"1,527,123"	"1,539,778"	"1,553,348"	"1,567,662"	"1,582,536"	"1,596,831"	"1,611,226"	"1,626,444"	"1,641,738"	"1,658,797"	"1,675,911"	"1,692,861"	"1,712,585"	"1,732,399"	"1,750,622"	"1,774,687"	"1,797,309"	"1,824,352"	"1,853,066"	"1,882,719"	"1,915,567"	"1,954,276"	"1,995,956"	"2,041,576"	"2,095,627"	"2,152,344"	"2,228,250"	"2,321,988"	"2,450,311"	"2,664,820"
History	"1,123,217"	"1,217,358"	"1,300,509"	"1,349,127"	"1,387,985"	"1,421,372"	"1,458,436"	"1,485,784"	"1,518,805"	"1,540,968"	"1,568,997"	"1,585,873"	"1,608,779"	"1,633,200"	"1,654,418"	"1,681,215"	"1,705,820"	"1,725,386"	"1,744,462"	"1,764,601"	"1,778,193"	"1,798,974"	"1,814,863"	"1,833,245"	"1,850,293"	"1,867,348"	"1,886,353"	"1,903,243"	"1,920,437"	"1,939,283"	"1,953,693"	"1,965,818"	"1,983,428"	"1,996,968"	"2,012,941"	"2,034,868"	"2,050,366"	"2,065,823"	"2,082,324"	"2,096,832"	"2,115,937"	"2,133,109"	"2,147,626"	"2,161,126"	"2,176,061"	"2,196,207"	"2,213,490"	"2,234,474"	"2,256,721"	"2,274,759"	"2,295,004"	"2,312,304"	"2,330,515"	"2,353,178"	"2,372,817"	"2,395,617"	"2,413,345"	"2,434,239"	"2,453,200"	"2,471,185"	"2,484,838"	"2,507,921"	"2,519,539"	"2,539,972"	"2,562,277"	"2,576,834"	"2,606,823"	"2,623,187"	"2,642,696"	"2,664,995"	"2,687,920"	"2,707,361"	"2,731,892"	"2,760,601"	"2,783,494"	"2,799,407"	"2,825,230"	"2,857,415"	"2,889,212"	"2,927,215"	"2,962,635"	"3,003,078"	"3,044,384"	"3,073,830"	"3,110,110"	"3,154,952"	"3,202,110"	"3,254,517"	"3,320,475"	"3,373,999"	"3,418,338"	"3,512,521"	"3,576,203"	"3,684,927"	"3,812,322"	"3,936,411"	"4,127,020"	"4,378,209"	"4,829,563"
Hospitality	"1,200,997"	"1,301,521"	"1,356,495"	"1,406,944"	"1,447,537"	"1,480,606"	"1,508,592"	"1,535,428"	"1,567,553"	"1,596,176"	"1,618,759"	"1,642,824"	"1,664,662"	"1,683,800"	"1,701,903"	"1,723,233"	"1,745,133"	"1,760,765"	"1,777,344"	"1,792,652"	"1,814,718"	"1,829,586"	"1,844,629"	"1,861,181"	"1,879,985"	"1,894,874"	"1,908,273"	"1,924,997"	"1,939,825"	"1,955,368"	"1,969,940"	"1,986,309"	"2,002,794"	"2,016,694"	"2,034,511"	"2,050,789"	"2,065,064"	"2,076,803"	"2,091,693"	"2,106,871"	"2,119,166"	"2,138,380"	"2,153,415"	"2,170,607"	"2,185,326"	"2,200,567"	"2,213,428"	"2,229,067"	"2,244,282"	"2,255,851"	"2,270,660"	"2,283,354"	"2,296,176"	"2,312,328"	"2,327,362"	"2,343,218"	"2,359,069"	"2,373,818"	"2,389,800"	"2,406,088"	"2,425,393"	"2,442,843"	"2,459,441"	"2,480,590"	"2,495,989"	"2,512,313"	"2,528,918"	"2,548,335"	"2,576,720"	"2,595,895"	"2,615,593"	"2,646,046"	"2,660,677"	"2,679,129"	"2,698,482"	"2,723,355"	"2,749,027"	"2,785,445"	"2,817,210"	"2,838,951"	"2,865,376"	"2,907,725"	"2,942,630"	"2,975,833"	"3,016,996"	"3,057,328"	"3,096,722"	"3,138,933"	"3,185,821"	"3,250,201"	"3,317,418"	"3,386,923"	"3,458,025"	"3,555,884"	"3,675,588"	"3,788,229"	"3,914,986"	"4,207,737"	"4,568,744"
Human Resources	"1,406,587"	"1,515,190"	"1,588,345"	"1,632,945"	"1,687,103"	"1,722,571"	"1,759,533"	"1,792,792"	"1,819,479"	"1,856,349"	"1,890,184"	"1,915,623"	"1,941,946"	"1,967,908"	"1,995,686"	"2,018,813"	"2,034,035"	"2,053,166"	"2,070,791"	"2,094,055"	"2,110,594"	"2,125,784"	"2,147,840"	"2,167,886"	"2,186,996"	"2,206,836"	"2,225,402"	"2,241,884"	"2,258,595"	"2,274,761"	"2,288,912"	"2,303,338"	"2,318,054"	"2,337,399"	"2,351,788"	"2,371,355"	"2,390,505"	"2,412,390"	"2,430,254"	"2,445,928"	"2,471,736"	"2,492,048"	"2,510,482"	"2,526,995"	"2,544,886"	"2,559,673"	"2,574,639"	"2,597,494"	"2,611,677"	"2,628,334"	"2,645,510"	"2,665,236"	"2,683,714"	"2,699,328"	"2,720,452"	"2,737,872"	"2,751,709"	"2,773,344"	"2,790,419"	"2,805,554"	"2,826,398"	"2,845,762"	"2,866,919"	"2,891,404"	"2,911,785"	"2,933,306"	"2,954,526"	"2,985,759"	"3,005,430"	"3,031,862"	"3,051,213"	"3,075,135"	"3,103,312"	"3,144,676"	"3,178,883"	"3,209,581"	"3,231,496"	"3,265,516"	"3,299,732"	"3,332,531"	"3,362,397"	"3,402,957"	"3,443,526"	"3,488,528"	"3,529,338"	"3,580,851"	"3,628,438"	"3,688,163"	"3,739,191"	"3,814,806"	"3,861,403"	"3,945,960"	"4,046,220"	"4,130,250"	"4,249,808"	"4,351,291"	"4,541,252"	"4,734,361"	"5,177,591"
Human/Community Services	"1,000,689"	"1,085,047"	"1,124,610"	"1,186,262"	"1,213,023"	"1,246,186"	"1,276,862"	"1,296,482"	"1,319,085"	"1,338,152"	"1,357,410"	"1,370,122"	"1,383,882"	"1,395,588"	"1,407,872"	"1,428,328"	"1,440,089"	"1,459,350"	"1,474,282"	"1,489,231"	"1,505,196"	"1,516,284"	"1,532,641"	"1,549,434"	"1,564,831"	"1,576,201"	"1,588,597"	"1,598,663"	"1,609,154"	"1,618,856"	"1,629,861"	"1,639,960"	"1,650,187"	"1,663,317"	"1,674,571"	"1,683,749"	"1,693,133"	"1,702,853"	"1,715,284"	"1,729,065"	"1,741,949"	"1,754,890"	"1,769,809"	"1,782,046"	"1,793,118"	"1,804,326"	"1,814,950"	"1,825,975"	"1,839,173"	"1,852,479"	"1,866,132"	"1,877,330"	"1,890,319"	"1,902,450"	"1,913,925"	"1,927,157"	"1,943,409"	"1,958,072"	"1,968,337"	"1,985,686"	"2,000,810"	"2,017,198"	"2,035,829"	"2,057,116"	"2,073,765"	"2,095,466"	"2,107,636"	"2,122,024"	"2,138,801"	"2,159,774"	"2,181,712"	"2,202,051"	"2,219,046"	"2,243,208"	"2,266,891"	"2,286,411"	"2,313,447"	"2,334,563"	"2,364,983"	"2,392,966"	"2,422,919"	"2,446,618"	"2,476,277"	"2,511,599"	"2,546,193"	"2,583,086"	"2,617,779"	"2,654,916"	"2,706,077"	"2,751,925"	"2,797,777"	"2,849,019"	"2,916,958"	"2,981,639"	"3,063,548"	"3,188,759"	"3,303,586"	"3,458,417"	"3,841,348"
Humanities	"969,062"	"1,054,322"	"1,125,031"	"1,166,779"	"1,207,004"	"1,246,281"	"1,283,274"	"1,305,795"	"1,335,532"	"1,370,827"	"1,395,095"	"1,411,287"	"1,425,682"	"1,448,287"	"1,471,329"	"1,485,220"	"1,506,044"	"1,519,784"	"1,542,100"	"1,556,702"	"1,575,283"	"1,593,173"	"1,609,058"	"1,625,675"	"1,638,215"	"1,654,873"	"1,669,402"	"1,682,467"	"1,698,498"	"1,711,355"	"1,727,604"	"1,749,145"	"1,763,793"	"1,776,872"	"1,789,201"	"1,803,045"	"1,815,129"	"1,831,393"	"1,841,963"	"1,860,099"	"1,878,712"	"1,888,688"	"1,903,666"	"1,918,270"	"1,933,648"	"1,948,603"	"1,967,105"	"1,983,028"	"1,995,561"	"2,006,220"	"2,022,310"	"2,041,643"	"2,061,425"	"2,082,758"	"2,103,068"	"2,116,222"	"2,134,785"	"2,155,664"	"2,174,398"	"2,195,579"	"2,212,134"	"2,239,345"	"2,255,232"	"2,278,406"	"2,298,536"	"2,327,000"	"2,349,900"	"2,370,136"	"2,389,844"	"2,415,041"	"2,434,051"	"2,471,045"	"2,497,780"	"2,516,599"	"2,557,132"	"2,589,355"	"2,616,865"	"2,654,577"	"2,681,181"	"2,712,693"	"2,748,972"	"2,791,766"	"2,825,257"	"2,863,707"	"2,903,327"	"2,954,176"	"3,027,810"	"3,083,683"	"3,145,605"	"3,219,650"	"3,301,606"	"3,391,353"	"3,490,579"	"3,619,570"	"3,747,458"	"3,892,060"	"4,083,457"	"4,305,486"	"4,828,888"
Industrial Engineering	"1,685,355"	"1,809,456"	"1,907,381"	"1,946,082"	"1,997,678"	"2,050,761"	"2,109,624"	"2,154,373"	"2,186,427"	"2,222,566"	"2,248,125"	"2,278,542"	"2,307,604"	"2,338,057"	"2,357,858"	"2,384,493"	"2,404,440"	"2,427,277"	"2,452,580"	"2,477,816"	"2,498,833"	"2,516,327"	"2,536,611"	"2,559,319"	"2,581,171"	"2,610,390"	"2,630,561"	"2,656,449"	"2,681,118"	"2,706,395"	"2,726,408"	"2,744,525"	"2,760,698"	"2,781,618"	"2,798,869"	"2,814,574"	"2,830,546"	"2,851,620"	"2,865,457"	"2,879,525"	"2,902,392"	"2,924,587"	"2,944,477"	"2,967,003"	"2,987,473"	"3,006,669"	"3,028,009"	"3,047,268"	"3,068,974"	"3,094,193"	"3,107,771"	"3,126,995"	"3,146,963"	"3,164,835"	"3,186,119"	"3,198,169"	"3,215,150"	"3,233,451"	"3,248,746"	"3,267,936"	"3,288,442"	"3,307,406"	"3,334,844"	"3,354,963"	"3,386,484"	"3,417,324"	"3,439,687"	"3,466,063"	"3,495,892"	"3,519,529"	"3,549,615"	"3,572,252"	"3,607,507"	"3,641,656"	"3,680,277"	"3,714,402"	"3,748,558"	"3,784,228"	"3,819,797"	"3,863,110"	"3,892,969"	"3,948,162"	"3,983,788"	"4,029,004"	"4,078,998"	"4,147,518"	"4,223,775"	"4,268,664"	"4,330,070"	"4,397,193"	"4,476,199"	"4,579,739"	"4,668,275"	"4,779,096"	"4,915,527"	"5,072,775"	"5,266,469"	"5,513,262"	"6,014,399"
Information Science	"1,716,494"	"1,852,326"	"1,930,771"	"2,004,876"	"2,057,810"	"2,098,026"	"2,145,106"	"2,175,963"	"2,208,673"	"2,237,750"	"2,263,856"	"2,300,601"	"2,322,008"	"2,345,560"	"2,374,619"	"2,397,773"	"2,421,500"	"2,448,366"	"2,469,887"	"2,496,548"	"2,519,782"	"2,536,487"	"2,555,437"	"2,577,143"	"2,597,025"	"2,619,358"	"2,638,138"	"2,656,765"	"2,674,856"	"2,694,932"	"2,712,483"	"2,727,588"	"2,748,362"	"2,763,562"	"2,782,558"	"2,797,969"	"2,814,802"	"2,832,273"	"2,850,993"	"2,874,461"	"2,895,977"	"2,910,726"	"2,927,082"	"2,942,409"	"2,961,960"	"2,981,674"	"3,001,159"	"3,014,526"	"3,032,806"	"3,054,299"	"3,075,845"	"3,092,062"	"3,105,729"	"3,126,089"	"3,146,974"	"3,166,208"	"3,186,488"	"3,207,631"	"3,229,412"	"3,249,707"	"3,269,230"	"3,298,191"	"3,319,464"	"3,346,204"	"3,363,586"	"3,389,411"	"3,409,781"	"3,429,502"	"3,453,320"	"3,479,166"	"3,499,679"	"3,533,453"	"3,557,861"	"3,586,938"	"3,619,131"	"3,654,976"	"3,695,983"	"3,725,993"	"3,751,197"	"3,784,934"	"3,821,076"	"3,854,656"	"3,890,593"	"3,915,671"	"3,956,534"	"4,007,555"	"4,063,676"	"4,116,099"	"4,159,143"	"4,224,028"	"4,313,966"	"4,378,768"	"4,472,031"	"4,606,516"	"4,715,751"	"4,808,514"	"4,973,309"	"5,313,683"	"5,797,201"
Interdisciplinary Studies	"1,122,251"	"1,211,908"	"1,266,717"	"1,318,023"	"1,378,051"	"1,406,637"	"1,436,259"	"1,461,665"	"1,488,295"	"1,506,492"	"1,522,006"	"1,537,714"	"1,560,602"	"1,577,109"	"1,593,035"	"1,616,013"	"1,639,780"	"1,666,389"	"1,684,333"	"1,706,096"	"1,726,921"	"1,740,371"	"1,759,207"	"1,773,793"	"1,790,993"	"1,811,550"	"1,828,436"	"1,845,506"	"1,860,906"	"1,872,779"	"1,892,291"	"1,908,002"	"1,927,076"	"1,943,024"	"1,956,519"	"1,978,732"	"1,993,274"	"2,009,978"	"2,023,976"	"2,038,947"	"2,053,432"	"2,070,664"	"2,085,867"	"2,102,951"	"2,119,687"	"2,137,833"	"2,149,704"	"2,163,140"	"2,177,466"	"2,194,711"	"2,214,424"	"2,229,664"	"2,244,287"	"2,260,422"	"2,279,303"	"2,308,595"	"2,323,158"	"2,340,853"	"2,355,644"	"2,376,172"	"2,401,376"	"2,414,938"	"2,432,561"	"2,447,533"	"2,468,468"	"2,488,448"	"2,511,793"	"2,538,409"	"2,556,822"	"2,576,764"	"2,600,867"	"2,632,900"	"2,658,110"	"2,686,250"	"2,712,812"	"2,741,786"	"2,771,004"	"2,798,723"	"2,823,799"	"2,845,528"	"2,872,619"	"2,919,001"	"2,948,502"	"2,990,330"	"3,028,188"	"3,072,459"	"3,111,539"	"3,165,559"	"3,216,112"	"3,283,405"	"3,367,645"	"3,450,662"	"3,544,151"	"3,644,209"	"3,780,936"	"3,960,164"	"4,116,916"	"4,328,442"	"4,823,225"
International Business	"1,430,948"	"1,525,415"	"1,606,046"	"1,679,257"	"1,733,684"	"1,783,607"	"1,824,024"	"1,858,902"	"1,896,863"	"1,928,997"	"1,959,435"	"1,996,378"	"2,017,018"	"2,044,716"	"2,073,985"	"2,100,911"	"2,125,043"	"2,150,752"	"2,170,446"	"2,192,423"	"2,223,037"	"2,242,345"	"2,264,119"	"2,292,285"	"2,308,298"	"2,330,984"	"2,350,497"	"2,368,841"	"2,388,603"	"2,404,160"	"2,423,475"	"2,446,751"	"2,462,693"	"2,491,997"	"2,509,529"	"2,530,649"	"2,548,814"	"2,565,249"	"2,585,069"	"2,607,257"	"2,623,457"	"2,643,279"	"2,666,556"	"2,684,818"	"2,705,292"	"2,722,342"	"2,754,272"	"2,770,779"	"2,792,743"	"2,821,067"	"2,844,185"	"2,862,939"	"2,885,977"	"2,902,666"	"2,931,904"	"2,957,348"	"2,986,013"	"3,018,112"	"3,039,904"	"3,070,271"	"3,097,948"	"3,122,873"	"3,146,812"	"3,173,455"	"3,192,976"	"3,219,673"	"3,251,045"	"3,273,764"	"3,302,931"	"3,329,706"	"3,365,957"	"3,394,756"	"3,434,958"	"3,480,610"	"3,508,034"	"3,534,804"	"3,556,520"	"3,609,095"	"3,658,400"	"3,709,895"	"3,771,169"	"3,814,267"	"3,866,488"	"3,914,713"	"3,968,652"	"4,021,986"	"4,070,992"	"4,118,403"	"4,185,452"	"4,250,844"	"4,345,884"	"4,425,112"	"4,528,804"	"4,634,080"	"4,794,312"	"4,954,577"	"5,121,194"	"5,463,305"	"6,046,886"
Journalism	"1,252,709"	"1,374,902"	"1,456,187"	"1,514,000"	"1,562,891"	"1,620,782"	"1,660,032"	"1,691,975"	"1,726,678"	"1,750,681"	"1,782,021"	"1,805,698"	"1,832,150"	"1,857,275"	"1,884,914"	"1,906,515"	"1,929,326"	"1,944,766"	"1,961,755"	"1,981,293"	"2,000,737"	"2,018,741"	"2,041,227"	"2,063,841"	"2,080,778"	"2,097,093"	"2,122,465"	"2,138,216"	"2,155,163"	"2,179,997"	"2,196,403"	"2,215,984"	"2,233,382"	"2,254,493"	"2,267,747"	"2,283,884"	"2,303,356"	"2,320,141"	"2,335,526"	"2,351,113"	"2,365,275"	"2,381,158"	"2,397,234"	"2,411,737"	"2,427,321"	"2,443,111"	"2,462,803"	"2,480,748"	"2,502,753"	"2,524,470"	"2,549,386"	"2,566,859"	"2,585,262"	"2,602,630"	"2,620,446"	"2,642,669"	"2,660,302"	"2,675,335"	"2,703,215"	"2,723,390"	"2,745,989"	"2,771,248"	"2,801,130"	"2,820,424"	"2,841,865"	"2,868,600"	"2,888,910"	"2,916,830"	"2,939,944"	"2,960,476"	"2,988,459"	"3,015,951"	"3,037,669"	"3,066,134"	"3,093,519"	"3,123,218"	"3,154,010"	"3,195,176"	"3,232,032"	"3,277,711"	"3,325,498"	"3,379,997"	"3,420,985"	"3,479,658"	"3,518,980"	"3,577,623"	"3,641,351"	"3,703,259"	"3,764,658"	"3,835,083"	"3,904,303"	"4,011,240"	"4,089,234"	"4,211,620"	"4,334,254"	"4,488,099"	"4,643,624"	"4,978,142"	"5,460,552"
Liberal Arts	"1,104,679"	"1,213,121"	"1,256,718"	"1,310,169"	"1,353,419"	"1,376,917"	"1,406,627"	"1,430,176"	"1,450,995"	"1,477,926"	"1,498,541"	"1,516,189"	"1,536,506"	"1,556,311"	"1,572,880"	"1,594,269"	"1,616,751"	"1,626,752"	"1,643,672"	"1,658,089"	"1,669,845"	"1,685,462"	"1,707,410"	"1,724,683"	"1,739,278"	"1,750,857"	"1,769,081"	"1,784,196"	"1,799,588"	"1,813,710"	"1,827,738"	"1,839,039"	"1,856,536"	"1,870,667"	"1,883,839"	"1,895,402"	"1,908,699"	"1,928,367"	"1,943,093"	"1,958,346"	"1,973,071"	"1,988,483"	"2,002,635"	"2,018,711"	"2,036,112"	"2,052,418"	"2,069,257"	"2,085,453"	"2,100,313"	"2,117,050"	"2,133,289"	"2,144,733"	"2,157,589"	"2,177,585"	"2,193,428"	"2,204,897"	"2,227,150"	"2,248,281"	"2,272,385"	"2,285,962"	"2,302,503"	"2,319,817"	"2,334,374"	"2,352,106"	"2,369,032"	"2,388,130"	"2,409,108"	"2,429,482"	"2,442,782"	"2,462,853"	"2,484,126"	"2,502,694"	"2,529,885"	"2,551,663"	"2,573,494"	"2,596,787"	"2,625,964"	"2,657,625"	"2,689,712"	"2,718,297"	"2,739,316"	"2,787,083"	"2,814,762"	"2,860,049"	"2,904,135"	"2,950,897"	"3,003,505"	"3,058,055"	"3,121,542"	"3,215,788"	"3,270,241"	"3,342,157"	"3,435,596"	"3,540,959"	"3,653,592"	"3,793,058"	"3,981,749"	"4,151,879"	"4,538,361"
Linguistics/Comparative Language and Literature	"1,005,877"	"1,097,480"	"1,153,780"	"1,189,535"	"1,235,285"	"1,279,841"	"1,305,199"	"1,335,057"	"1,374,753"	"1,397,686"	"1,425,902"	"1,454,131"	"1,476,793"	"1,504,848"	"1,532,334"	"1,557,710"	"1,575,828"	"1,591,795"	"1,608,580"	"1,627,262"	"1,646,365"	"1,664,996"	"1,678,805"	"1,695,637"	"1,720,283"	"1,739,105"	"1,758,604"	"1,773,798"	"1,794,297"	"1,807,987"	"1,822,092"	"1,837,255"	"1,853,248"	"1,866,062"	"1,884,589"	"1,902,051"	"1,924,042"	"1,937,839"	"1,954,626"	"1,969,298"	"1,986,316"	"2,004,908"	"2,018,869"	"2,040,433"	"2,053,561"	"2,073,748"	"2,088,142"	"2,105,870"	"2,123,932"	"2,137,422"	"2,155,977"	"2,174,099"	"2,189,911"	"2,212,606"	"2,231,594"	"2,250,485"	"2,265,541"	"2,287,506"	"2,307,680"	"2,330,495"	"2,362,269"	"2,386,200"	"2,403,736"	"2,429,933"	"2,445,582"	"2,469,612"	"2,498,849"	"2,524,827"	"2,554,432"	"2,578,352"	"2,607,596"	"2,632,588"	"2,663,282"	"2,695,062"	"2,734,160"	"2,765,898"	"2,797,792"	"2,825,263"	"2,856,794"	"2,892,188"	"2,933,728"	"2,985,579"	"3,039,113"	"3,075,404"	"3,133,466"	"3,193,248"	"3,254,788"	"3,314,472"	"3,404,414"	"3,475,191"	"3,544,093"	"3,643,118"	"3,726,164"	"3,869,607"	"4,025,951"	"4,208,160"	"4,433,780"	"4,777,912"	"5,182,777"
Management	"1,415,788"	"1,499,318"	"1,586,433"	"1,654,073"	"1,688,898"	"1,731,092"	"1,763,005"	"1,804,303"	"1,835,891"	"1,859,162"	"1,887,108"	"1,913,647"	"1,938,978"	"1,959,063"	"1,986,817"	"2,006,078"	"2,030,198"	"2,052,155"	"2,069,129"	"2,087,808"	"2,106,958"	"2,120,637"	"2,135,478"	"2,150,726"	"2,167,838"	"2,188,699"	"2,201,930"	"2,222,621"	"2,241,190"	"2,258,945"	"2,276,120"	"2,288,600"	"2,304,534"	"2,323,018"	"2,342,086"	"2,360,901"	"2,379,107"	"2,403,027"	"2,418,126"	"2,441,335"	"2,454,961"	"2,472,986"	"2,495,664"	"2,509,726"	"2,528,771"	"2,546,862"	"2,564,116"	"2,579,966"	"2,597,999"	"2,619,299"	"2,641,299"	"2,660,614"	"2,677,516"	"2,697,190"	"2,712,889"	"2,731,246"	"2,745,806"	"2,767,203"	"2,786,140"	"2,812,427"	"2,833,570"	"2,854,721"	"2,873,517"	"2,891,471"	"2,917,035"	"2,941,449"	"2,961,132"	"2,986,882"	"3,016,980"	"3,045,740"	"3,070,859"	"3,093,808"	"3,123,039"	"3,156,182"	"3,187,459"	"3,212,950"	"3,238,601"	"3,272,367"	"3,313,648"	"3,360,701"	"3,402,368"	"3,432,424"	"3,460,761"	"3,508,407"	"3,546,376"	"3,617,391"	"3,657,542"	"3,709,499"	"3,756,523"	"3,802,871"	"3,865,183"	"3,948,306"	"4,055,812"	"4,152,496"	"4,253,180"	"4,417,820"	"4,596,021"	"4,848,376"	"5,353,829"
Management and Information Science	"1,755,863"	"1,878,799"	"1,954,792"	"2,047,582"	"2,106,050"	"2,152,971"	"2,196,871"	"2,228,833"	"2,263,880"	"2,283,023"	"2,323,027"	"2,346,684"	"2,376,588"	"2,407,216"	"2,434,342"	"2,454,163"	"2,478,500"	"2,502,391"	"2,529,330"	"2,551,988"	"2,576,887"	"2,595,228"	"2,612,003"	"2,631,974"	"2,650,754"	"2,672,584"	"2,692,683"	"2,714,592"	"2,729,577"	"2,747,316"	"2,766,744"	"2,789,100"	"2,806,037"	"2,824,855"	"2,837,093"	"2,854,127"	"2,876,260"	"2,895,589"	"2,910,634"	"2,926,522"	"2,945,063"	"2,962,272"	"2,976,815"	"2,994,417"	"3,020,553"	"3,035,919"	"3,061,113"	"3,078,476"	"3,095,681"	"3,110,694"	"3,130,948"	"3,147,881"	"3,173,570"	"3,189,001"	"3,204,686"	"3,222,399"	"3,243,454"	"3,262,486"	"3,282,126"	"3,300,775"	"3,316,160"	"3,336,312"	"3,358,045"	"3,385,328"	"3,417,761"	"3,443,858"	"3,471,492"	"3,496,541"	"3,525,331"	"3,553,303"	"3,575,230"	"3,606,366"	"3,631,507"	"3,655,877"	"3,679,877"	"3,711,322"	"3,742,651"	"3,772,163"	"3,805,759"	"3,842,243"	"3,869,928"	"3,912,390"	"3,961,695"	"4,012,997"	"4,057,647"	"4,115,109"	"4,168,678"	"4,240,378"	"4,278,707"	"4,337,163"	"4,438,524"	"4,532,092"	"4,621,356"	"4,743,523"	"4,869,115"	"4,994,955"	"5,213,822"	"5,457,944"	"5,820,053"
Marketing	"1,472,164"	"1,548,848"	"1,624,942"	"1,672,451"	"1,717,027"	"1,754,566"	"1,810,815"	"1,851,696"	"1,883,172"	"1,911,736"	"1,939,281"	"1,967,514"	"1,999,103"	"2,021,917"	"2,048,243"	"2,069,970"	"2,091,110"	"2,116,681"	"2,141,928"	"2,165,194"	"2,191,228"	"2,219,777"	"2,234,975"	"2,257,663"	"2,274,511"	"2,299,522"	"2,323,831"	"2,338,748"	"2,359,790"	"2,376,575"	"2,388,012"	"2,404,622"	"2,416,713"	"2,430,871"	"2,448,014"	"2,463,430"	"2,484,069"	"2,505,017"	"2,524,981"	"2,542,216"	"2,557,434"	"2,577,702"	"2,592,370"	"2,608,249"	"2,631,433"	"2,647,845"	"2,673,392"	"2,691,479"	"2,705,888"	"2,727,013"	"2,749,949"	"2,768,634"	"2,791,174"	"2,811,974"	"2,832,612"	"2,860,872"	"2,887,775"	"2,910,611"	"2,934,210"	"2,951,050"	"2,975,950"	"2,999,823"	"3,023,606"	"3,047,190"	"3,072,537"	"3,105,202"	"3,126,252"	"3,151,823"	"3,175,888"	"3,200,034"	"3,224,255"	"3,259,314"	"3,297,770"	"3,328,579"	"3,355,830"	"3,387,789"	"3,439,241"	"3,473,886"	"3,513,835"	"3,549,518"	"3,597,447"	"3,638,312"	"3,676,352"	"3,728,712"	"3,785,767"	"3,862,364"	"3,935,735"	"3,998,823"	"4,090,291"	"4,184,450"	"4,264,505"	"4,344,535"	"4,422,403"	"4,501,836"	"4,642,245"	"4,787,196"	"5,013,898"	"5,283,162"	"5,833,358"
